45030,48606,47020,40980,47572,52275,52623
42512,45950,44193,38444,44678,49460,50156
40275,44116,42697,36366,42983,47455,48696
39800,42972,41847,35188,41529,46380,47738
39400,42689,41245,34659,41034,45656,47433
39614,42552,41204,34518,41091,45604,47503
40505,44118,42004,35490,42560,46680,50116
41813,45801,44404,38143,45908,50001,54645
45897,50767,50609,43865,52916,58152,62733
50861,54571,54436,49281,59161,65976,67933
52265,56403,56402,51296,60749,68870,69732
52247,56558,56076,51738,60002,69085,69134
48418,53088,52210,48050,53858,62204,62337
45735,50763,50568,46190,51596,59195,60200
45634,50603,50436,46239,65414,59389,60677
45613,51109,50563,46603,51905,60297,61558
46941,53011,52097,49203,54411,63529,64868
50285,55927,55653,52841,58774,68172,70793
49944,55661,54580,51626,58663,67532,70267
51651,57514,55799,51902,59668,68416,69890
51601,57726,55468,51226,59920,68180,68383
51091,57043,54771,49923,59428,66421,66604
48186,53150,51264,45473,55890,60948,62507
44879,50159,48742,42060,50750,54721,56917
41500,46602,45175,37619,45797,49647,52939
39256,44263,42468,35006,42885,47434,50818
37974,42920,41504,33273,41511,45836,48827
37432,42137,40865,33004,40491,44683,47780
37191,42001,40569,32176,39998,44795,47674
37253,42018,40731,32208,40033,45357,47933
38593,43874,41824,33475,41886,48925,49726
40343,47192,43983,35759,45413,54317,54535
46014,52489,51172,42494,52797,61483,63199
50075,56246,55750,48200,59868,67818,69027
51511,57028,57442,50153,62011,71133,71021
51522,57647,57221,49773,62088,71370,71199
48124,53614,52334,44981,55446,64136,63713
46491,51442,50136,42378,53460,61053,61961
47077,51796,50296,42153,54094,61263,62348
47612,52280,50478,42395,55072,62960,63746
49248,53909,52644,44652,58304,66116,67964
52564,57846,56571,49066,62585,71696,72735
51500,56470,55191,48328,61726,71328,71801
52759,58077,55946,49566,62886,71406,71552
52210,58076,55341,49762,62469,70288,70022
51663,57415,54163,49360,61341,68176,67837
49072,53894,51030,45824,56579,62448,62793
46663,51142,48901,42689,50829,55798,57049
43168,47432,45969,38792,45837,50522,52869
41360,45302,43652,35903,43710,48441,50397
40032,44570,42418,34255,42209,46821,48787
39332,43794,41620,33599,41452,45886,48149
39077,43415,41302,32884,40834,45648,47960
38926,43807,41203,33433,41300,45982,48450
40164,45630,42738,34712,44334,48975,52694
41965,48370,44817,37490,49224,53795,58896
47365,53604,51651,44533,55282,60335,65870
52444,57202,56530,49072,61507,67323,70992
54983,58933,58390,50213,63946,70762,72961
56557,59138,58134,50249,63923,71077,72806
53614,55267,52755,45605,58057,65510,64837
52598,53227,50944,43526,56064,62928,61941
53213,53463,51344,43551,55984,62818,62467
53495,53861,52051,44482,56969,64409,64377
55529,55853,53025,46941,59854,68273,68005
58760,59782,57041,50584,64459,73487,73733
56668,57876,55591,49603,63625,72039,73925
